Type;VSE;
Version;1.90;
Date;21. May 2021;
Mode;VSA;
Screen;1;
Points per Symbol;1;
x Axis Start;-5;sym
x Axis Stop;5;sym
y per div;10.000;dB
Ref Value y-Axis;-20.00;dB
Ref Value Position;100;%
Start of ResultRange in Capture Buffer;4800;sym
Trace;1;
Meas Result;Impulse Response Magnitude;
Meas Signal;Equalizer;
Demodulator;16QAM;
ResultMode;Trace;
x Unit;sym;
y Unit;dB;
Trace Mode;Clear Write;
Values;41;
-46.24296951293945313
-35.79219818115234375
-33.86178970336914063
-38.92580795288085938
-33.89971542358398438
-34.78590393066406250
-37.35630035400390625
-31.59448051452636719
-37.99534225463867188
-32.44059753417968750
-29.82621765136718750
-37.62686157226562500
-28.69449996948242188
-27.05871200561523438
-33.81862640380859375
-24.11440658569335938
-21.87919998168945313
-25.10281944274902344
-16.04664611816406250
-10.69235229492187500
-9.13591289520263672
-10.68522644042968750
-16.04411888122558594
-25.26819801330566406
-21.84072303771972656
-23.89834403991699219
-33.23516082763671875
-26.95277023315429688
-28.25806999206542969
-36.89905166625976563
-29.56592369079589844
-31.24268531799316406
-38.00595474243164063
-31.32869720458984375
-34.70403671264648438
-35.95552825927734375
-32.60321807861328125
-37.61882400512695313
-34.52031326293945313
-36.06156921386718750
-41.69622802734375000
Screen;2;
Start of ResultRange in Capture Buffer;4800;sym
Meas Result;Result Summary;
Meas Signal;Modulation Accurracy;
EVM RMS;Current;0.71;%
EVM RMS;Mean;0.53;%
EVM RMS;Peak;0.81;%
EVM RMS;StdDev;0.25;%
EVM RMS;95%ile;0.81;%
EVM Peak;Current;1.72;%
EVM Peak;Mean;1.33;%
EVM Peak;Peak;2.15;%
EVM Peak;StdDev;0.60;%
EVM Peak;95%ile;2.15;%
MER RMS;Current;42.97;dB
MER RMS;Mean;45.55;dB
MER RMS;Peak;41.81;dB
MER RMS;StdDev;-52.06;dB
MER RMS;95%ile;41.82;dB
MER Peak;Current;35.31;dB
MER Peak;Mean;37.52;dB
MER Peak;Peak;33.33;dB
MER Peak;StdDev;-44.50;dB
MER Peak;95%ile;33.35;dB
PhasErr RMS;Current;0.10;°
PhasErr RMS;Mean;0.10;°
PhasErr RMS;Peak;0.11;°
PhasErr RMS;StdDev;0.01;°
PhasErr RMS;95%ile;0.11;°
PhasErr Peak;Current;-0.45;°
PhasErr Peak;Mean;0.14;°
PhasErr Peak;Peak;0.54;°
PhasErr Peak;StdDev;0.43;°
PhasErr Peak;95%ile;0.54;°
MagnErr RMS;Current;0.70;%
MagnErr RMS;Mean;0.50;%
MagnErr RMS;Peak;0.80;%
MagnErr RMS;StdDev;0.27;%
MagnErr RMS;95%ile;0.80;%
MagnErr Peak;Current;1.72;%
MagnErr Peak;Mean;-0.04;%
MagnErr Peak;Peak;2.15;%
MagnErr Peak;StdDev;1.43;%
